1303,1.55,71.01,34904534,34372304,25991621,29346765,28327943,26310187,24739023,23828101,22209740,21752364,20794995,19418507,20411078,23244809,19999005,22313695,23906984,23539431,24199415,23540826,23781522,24563010,21989854,24787501
1304,-2.93,71.97,6028023,6209704,4669544,5316928,5820253,5133507,4622066,4307703,4006402,4099746,3952131,3401050,3505359,4154619,3643881,3557870,4568559,4549681,4560162,4484846,4735910,4769245,4541760,5127061
1305,-18.08,108.08,1493823,1823567,1551446,1603671,1680981,1525029,1386393,1134914,1058853,1068490,948423,620635,717906,1279672,1269527,1042016,1233303,1229172,1248897,1122459,1381919,1320523,1386382,1645849
1307,-25.17,23.96,697674,932378,706825,949887,693860,731314,841490,840399,677965,528216,489749,418689,562804,1074419,833964,748887,767780,798139,968475,921765,941448,882453,660096,810708
1308,17.86,84.91,800995,679625,519823,653244,682421,576968,458950,473181,407986,432139,451529,473355,433191,499915,430415,383724,593109,574097,583313,562238,528587,554435,521248,542154
1309,1.69,62.92,1876788,1845569,1233649,1456463,1789006,1622907,1419625,1371229,1366998,1404282,1276711,1137515,1151977,1033774,890685,1033894,1397706,1464141,1345676,1487398,1432733,1461710,1348375,1544984
1310,66.40,90.64,1126664,677091,730574,730042,870907,975087,709251,642101,654054,682498,684951,604350,590995,419530,510293,768429,915803,836946,1007580,996939,1075426,1137754,1100791,1152782
1312,6.22,77.06,1949387,1835254,1660203,1739674,1848773,1685135,1567152,1487844,1443785,1328986,1332033,1169189,1100991,1107724,1028691,1471941,1645058,1665015,1595381,1572110,1621653,1842861,1756687,1903657
1313,5.26,88.30,7594888,7215445,3932791,5994488,6091072,5696942,4936665,5087822,4621335,4292844,4199654,4110055,4033358,3767808,1753579,3379946,5711986,5763335,4798646,5369183,4947933,5581587,4986963,5234388
1314,-3.44,105.94,2814860,2915031,1979742,2541752,1880643,1390823,1294775,1224711,1242352,1166126,1217571,1499660,1366840,1568761,1668882,2063432,1760840,1447104,1931548,2675293,2850755,2522461,2967847,2592197
1315,-9.45,20.26,166442,183809,170163,185347,213256,179377,214384,194188,191602,240945,188984,159245,138397,192450,160344,165414,191026,207533,155412,275155,237353,260865,253354,195678
1321,-14.10,75.08,544134,633433,437107,464301,479536,471422,454209,508942,447705,450073,406756,363536,310791,394797,343433,356932,440232,373757,386564,403934,429246,417127,380211,416766
1323,-1.15,-2.64,303256,306780,244003,279444,301482,313683,293385,303129,252044,279151,298326,286234,311485,309627,218708,237926,325715,297615,335952,329822,295515,308168,287342,304514
1324,-25.00,0.16,83533,111375,58498,82015,102720,76948,82168,85306,86992,88678,86367,80291,83401,105320,101024,76543,92103,93162,94553,89644,92566,90435,95012,98271
1325,-2.19,-56.88,136427,139477,112368,218816,295463,293910,474557,471539,452980,399921,484807,439228,316354,262200,106907,58992,65899,55641,53828,61980,52577,63019,79094,77676
1326,2.70,82.24,33047596,32179323,25225711,26749217,26248571,23935729,22525959,20716904,18984099,20451507,19842166,18011412,18134268,20766240,21029837,22647976,24389832,23934947,24869514,24430793,25985347,27457611,25775641,27148487
4306,-5.33,33.68,1537466,1624079,1036147,1288713,1413578,1330385,1244703,1293307,1156332,1103473,1111835,1009828,1150138,1268994,913004,999485,1246172,1320334,1396588,1398003,1434164,1386702,1287874,1379260
1402,-6.39,16.20,18494363,19757228,17332331,19154653,20535299,18791926,16790724,16832713,16731731,15997860,17013520,16015710,15915565,18696616,16072828,17466170,20227978,19378156,19963313,20367232,20288593,21072415,21990028,22998106
1409,-10.43,56.57,3774406,4214077,2695907,3145297,4167286,2551167,2763433,2597618,2949597,2458078,2429664,2372030,2410620,2639257,2410828,2560642,2670865,2755876,2900775,2928171,3357589,3386398,3019383,3700502
1410,-2.11,19.98,42253,43164,29102,36064,42139,37087,34020,40589,31428,31295,28351,38867,35217,38973,34036,24254,30107,33974,35521,29056,35635,33496,26979,43565
1413,2.73,182.85,249530,242906,174641,202561,163371,183846,141414,122414,100864,90952,114480,101981,88220,142094,155068,161063,183726,153412,219241,206611,214577,279551,172545,335144
1414,-3.50,35.56,68982,71482,62318,69139,87371,59309,66216,60808,58930,40033,35986,32832,50885,67930,86451,55721,68651,60305,43515,47368,61659,80951,62324,90644
1417,15.55,130.68,113051,97834,93957,126957,90121,107100,92852,92872,81197,90463,93304,79310,49007,55200,97360,129664,143657,144440,103663,83236,113433,117389,102072,115889
1418,70.89,712.18,6270,3669,2740,6471,11891,11414,5172,6159,3575,6940,11660,8505,772,12667,11758,9629,5238,17183,8824,5508,13287,19541,14833,21933
1419,14.63,50.88,244757,213510,143826,192552,232948,229060,220587,202648,155070,112340,131116,137126,162217,222376,180755,163148,194686,246266,264084,214712,166996,126294,138297,179713
1423,-20.37,11.97,17732,22269,14184,17467,12124,12038,14604,12877,13614,14835,30771,18695,15837,19015,26244,12069,11776,21416,27475,38382,41673,49882,37946,50847
1434,-5.90,28.43,3090691,3284511,2283006,2591722,2527585,2253131,2374609,2328734,2189192,2081782,2030628,2025420,2406454,3068838,2860226,2642716,2753330,2671814,2796923,2934871,3029589,2895962,3028509,3507898
1439,-46.23,89.37,5984,11128,5257,6140,15085,2288,6211,4997,6712,7998,8659,8281,3160,27092,11862,10775,11264,16504,6760,12636,10921,8634,18448,15025
1440,-13.07,82.54,1891812,2176174,1435743,1721188,1781769,1633489,1614790,1418244,1230819,1348536,1352756,1173545,1036389,1704740,1978926,1354218,1857387,1768543,2011385,1647316,1875976,2169047,1860018,2022479
1443,-9.15,34.90,54808,60327,41826,56609,49125,54269,54439,55232,46155,41296,39412,40786,40630,55681,45184,44762,74903,63982,58625,49317,57781,54516,51220,50886
1444,-5.58,25.79,771799,817402,634910,749992,811117,786572,713503,652937,696679,601444,590953,463133,613571,888025,810705,744969,970164,769946,972078,990231,1060625,987427,885585,1164734
1445,-4.82,78.85,95403,100235,90150,78183,97272,66994,66097,70496,67213,66974,54918,56628,53343,101647,117479,98410,117192,111504,122584,97067,88487,110460,86828,120637
1446,-57.00,-80.37,10098,23483,29999,29710,30113,63683,5008,44365,81594,28078,35386,25015,51438,70954,20955,34612,90414,95999,24092,29958,45462,44354,49019,49037
1447,-16.90,192.65,1910183,2298590,1875926,1703830,1437353,1736512,1880469,1972834,960407,622904,731202,674463,652727,967469,1043140,879978,1174694,964471,1143626,1131932,1074439,1332260,1086075,1423554
1449,1.16,192.64,251070,248198,201706,139548,163037,193946,219162,109559,239951,86690,183311,227360,85794,158417,150298,111626,209856,217540,236571,236795,198862,224870,188952,204628
1451,-20.89,306.91,572110,723142,472016,542580,695510,595405,699166,741504,657733,669496,638348,307953,140598,615361,613683,644616,666468,641242,750858,767390,723471,705526,742499,833821
1452,2.22,230.31,165986,162389,201142,141746,170473,183208,142400,119450,116783,110149,81921,65767,50251,28631,112721,146138,114486,160406,149486,147973,117997,150673,166503,151994
1453,56,16096,38,56,56,20381,44034,219241,32663.08,35646.98,37899.48,40458.63,9110.16,14748.55,109/03,56,20381,44034,56,51.35,1795,-98.26,-98.76,-98.82,-95.31,273
1454,0.03,29.66,127762,127728,118548,120729,130643,118054,78705,92735,63413,89393,61594,79555,98533,134983,138709,118611,138854,138256,173464,159064,137104,173865,151981,183391
1455,7.33,130.41,886296,825740,708790,828749,836143,787713,654240,729968,715912,523263,503149,396217,384667,746898,717761,679676,806421,790711,880881,807781,955462,1051785,754142,1133999
1456,32.56,-20.29,58290,43972,433701,66121,111346,188226,20925,37980,69680,44070,24958,35923,73128,23049,29247,57927,52492,323247,100173,24522,24891,72306,75780,84448
1457,2.57,132.01,371454,362143,257456,317026,313004,286100,249542,241966,193402,171135,170335,150806,160102,299830,294650,296309,354395,295760,373712,366155,394054,427458,318007,488601
1459,-13.76,150.35,221026,256290,184018,235665,237455,194149,167239,139676,124555,108393,85472,77458,88286,201379,217512,143616,233912,231416,248239,209867,213846,257252,275940,267160
1460,0.98,118.32,740461,733251,617249,792034,753725,849170,858236,679479,600632,555438,444761,369740,339161,651733,585125,634183,819118,774277,854068,886266,717053,554500,625698,646421
1463,11.42,58.91,45616,40940,29312,36696,32329,34679,24174,32314,26967,25016,14585,18763,28705,45905,123709,34463,43323,35319,39084,39033,77681,41112,36770,43251
1464,-6.58,65.04,857655,918042,642542,868295,1006364,720066,841717,867547,640626,473280,483742,451265,519665,980301,678094,881034,1079557,1063970,1122465,1029927,1001832,809603,805117,870935
1465,-43.39,-38.56,16147,28521,17796,27063,43701,42119,29407,38020,27972,25290,37502,26893,26282,53883,38747,35466,49301,59938,40831,45415,46839,76251,85544,92501
1466,-16.77,183.62,262488,315388,218592,248522,315137,257415,262582,269260,227247,213118,143682,83636,92549,275237,283033,227705,270698,244883,196335,229004,268055,258040,237369,284402
1467,-10.13,146.53,487758,542767,618261,464808,711037,815089,804509,1528050,1118168,1099563,800319,315812,197851,381970,383369,441942,519993,558568,540779,681669,656382,710199,568455,540949
1468,39.67,6.56,118037,84514,32907,123050,100442,71097,63282,69344,68829,83704,72359,78376,110768,94163,73239,76156,86749,78730,72704,85301,83902,84610,85205,102112
