1101,45,281,366,1449,240,136,64,12,636,-156,157,-94,103,17,651,426,284,593,-181,148,-94,90,294,-87,675,-34,200,351,272,1196,-207,722,149,1023,520,-42,1203,1087,-767,-1584
1102,-539,269,631,1296,887,347,-102,47,571,193,317,86,273,207,441,503,218,334,-74,-130,-0,104,-376,22,466,-30,166,811,395,1239,378,2024,2185,1637,720,223,354,781,1820,547
1103,0,13,9,199,2,-19,-5,-1,104,4,0,0,0,0,-37,0,0,66,-118,-1,0,-7,-1,0,-1,-2,0,8,-59,7,-73,-13,-19,-32,-2,0,-3,-1,16,74
1104,0,0,0,0,0,-10,-4,0,0,0,0,0,0,-2,0,0,0,-5,-2,-2,-1,-4,-1,0,-1,-2,0,6,5,10,1,-197,-27,3,-41,-78,0,1,-55,0
1108,0,0,0,0,0,-8,-2,-11,-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,1,2,1,1,0,0,1,0,0,-0,0,3,0
1109,0,0,0,0,0,-6,-3,-7,-3,0,0,0,-11,0,0,0,0,0,0,0,0,-1,0,2,0,10,-0,-0,3,2,0,0,-2,-4,0,-0,-12,50,9,60
1110,0,0,0,0,0,-3,-4,-13,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,2,1,0,0,1,0,0,0,0,5,-5
1201,0,-17,0,0,0,-90,-1,0,-45,0,-1,-16,-19,-1,-1,-1,0,-4,-3,-2,0,-6,0,-1,-1,0,0,2,0,0,-10,-67,-189,16,14,66,97,0,-53,-67
1203,0,0,0,0,0,-4,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,-1,-2,0,0,-1,0,0,1,-7,1,0,6,-3,-0,-2,0,0,0,0,0
1210,18,43,9,272,-1,-35,-25,-13,160,48,26,2,-16,-62,-133,-93,-40,112,-16,111,-25,7,26,56,29,-21,-63,-115,46,-28,-26,72,-201,-102,172,7,-90,20,-53,-67
1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
