stockNum,thisMonth,monthIncreasing,yearIncreasing
1907,7325248,-4.48,16.51
1909,3813448,17.14,31.27
2002,36906048,0.03,45.10
2006,5071187,2.04,46.65
2007,552310,-3.00,28.71
2008,127751,15.75,111.05
2009,242517,-20.18,29.14
2010,2204533,6.71,43.54
2012,949483,4.11,45.99
2013,1083852,-18.63,-2.23
2014,4011635,1.62,58.08
2015,2969908,-10.96,30.43
2017,406409,6.99,90.82
2020,505460,-0.73,46.22
2022,905818,-21.24,37.81
2023,7040344,4.56,68.73
2024,130363,-4.21,68.24
2025,83818,-46.90,105.07
2027,8504918,4.88,127.44
2028,1002548,-11.30,66.43
2029,1245262,18.81,110.89
2030,1131432,-6.63,21.07
2031,1187740,8.79,62.08
2032,276624,-0.37,22.56
2033,68627,-13.40,7.91
2034,1268314,-10.38,37.49
2038,805877,-13.40,3.93
2069,975613,1.63,72.27
2211,788423,-34.31,15.31
3004,89725,-29.29,-38.53
5007,610860,-4.14,153.88
9958,609554,1.52,68.88
2101,629066,-10.28,46.72
2102,111960,-5.88,-56.28
2103,3011563,-1.56,54.49
2104,2028567,8.20,181.42
2105,8748853,-20.45,32.12
2106,3107767,-5.46,41.53
2107,232755,-26.10,48.11
2108,2628840,7.70,176.83
2109,445936,-11.28,59.84
2114,166373,1.48,38.45
6582,832321,-10.29,137.09
1319,1463614,-13.34,43.94
1339,170515,0.01,13.24
1512,102657,35.23,48.86
1521,392103,-20.85,85.78
1522,1359787,-5.46,68.94
1524,121778,-29.52,22.94
1525,116157,-4.39,19.48
1533,229800,9.02,47.26
1536,558067,2.96,231.18
1568,155613,-5.56,53.68
1587,221466,10.73,108.48
2201,5907703,-18.94,-11.10
2204,2621175,-3.83,21.32
2206,3712547,0.98,35.22
2207,20954091,-6.21,12.66
2227,2590565,1.01,2.38
2228,303370,-20.15,56.44
2231,402870,-9.29,96.97
2233,309068,8.79,66.93
2247,4073587,5.58,30.88
2497,185709,4.19,171.01
3346,464211,36.21,25.92
4551,758924,-7.72,58.76
6288,287847,-22.13,298.60
6605,1355831,-12.32,71.81
2302,65856,10.80,44.61
2303,16382058,-1.42,8.78
2329,1368280,-4.37,12.39
2330,111314794,-13.79,15.95
2337,3810816,5.61,11.15
2338,479967,13.46,35.56
2342,138952,-6.22,-14.98
2344,8304909,4.23,90.97
2351,920273,4.50,35.20
2363,16253,-25.68,-38.45
2369,651712,1.37,47.47
2379,7811945,-3.02,41.17
2388,468545,-14.16,4.90
2401,669462,4.05,35.78
2408,7394273,15.39,31.57
2434,13600,2.17,22.91
